"id","as_name","as_number","country","date","ip_address"
"149_2022-12-21_1257_83.248.199.56","TELE2","1257","SE","2022-12-21","83.248.199.56"
"1277_2022-01-05_19994_23.253.208.162","RACKSPACE","19994","US","2022-01-05","23.253.208.162"
"255_2022-01-02_14080_181.49.135.242","Telmex Colombia S.A.","14080","CO","2022-01-02","181.49.135.242"
"1_2022-01-02_16276_51.178.161.32","OVH","16276","FR","2022-01-02","51.178.161.32"
"635_2022-01-03_5384_176.205.194.245","EMIRATES-INTERNET Emirates Internet","5384","AE","2022-01-03","176.205.194.245"
"122_2022-12-25_2119_84.219.213.130","TELENOR-NEXTEL Telenor Norge AS","2119","SE","2022-12-25","84.219.213.130"
"2034_2022-01-08_7713_36.91.36.29","TELKOMNET-AS-AP PT Telekomunikasi Indonesia","7713","ID","2022-01-08","36.91.36.29"
"1562_2022-01-06_207992_194.9.172.107","FEELB","207992","FR","2022-01-06","194.9.172.107"
"2633_2022-01-10_133296_103.87.173.60","WEBWERKS-AS-IN Web Werks India Pvt. Ltd.","133296","IN","2022-01-10","103.87.173.60"
"1180_2022-01-05_59931_109.75.64.100","LEBOL-AS","59931","LB","2022-01-05","109.75.64.100"
"979_2022-01-05_13188_159.224.167.102","TRIOLAN","13188","UA","2022-01-05","159.224.167.102"
"1749_2022-01-07_47583_213.190.4.223","AS-HOSTINGER","47583","DE","2022-01-07","213.190.4.223"
"689_2022-01-04_63949_45.79.91.89","""LINODE-AP Linode, LLC""","63949","US","2022-01-04","45.79.91.89"
"127_2022-12-25_35819_31.167.254.199","MOBILY-AS Etihad Etisalat Company Mobily","35819","SA","2022-12-25","31.167.254.199"
"213_2022-12-23_132956_103.212.19.254","VNET-AS V NET NETWORKS PVT LTD","132956","IN","2022-12-23","103.212.19.254"
"89_2022-12-24_11426_69.133.162.35","TWC-11426-CAROLINAS","11426","US","2022-12-24","69.133.162.35"
"1480_2022-01-06_51167_5.189.150.29","CONTABO","51167","DE","2022-01-06","5.189.150.29"
"139_2022-12-21_11427_76.184.95.190","TWC-11427-TEXAS","11427","US","2022-12-21","76.184.95.190"
"508_2022-01-03_200698_185.99.2.197","GLOBALHOST-BOSNIA-AS","200698","BA","2022-01-03","185.99.2.197"
"930_2022-01-04_20001_76.169.147.192","TWC-20001-PACWEST","20001","US","2022-01-04","76.169.147.192"
"2282_2022-01-09_12301_91.83.88.122","INVITECH","12301","HU","2022-01-09","91.83.88.122"
"1423_2022-01-06_7922_76.25.142.196","COMCAST-7922","7922","US","2022-01-06","76.25.142.196"
"1473_2022-01-06_47583_93.188.167.97","AS-HOSTINGER","47583","CY","2022-01-06","93.188.167.97"
"1439_2022-01-06_209_65.100.174.110","CENTURYLINK-US-LEGACY-QWEST","209","US","2022-01-06","65.100.174.110"
"1948_2022-01-08_16527_216.177.161.118","GVTCINTERNET","16527","US","2022-01-08","216.177.161.118"
"1093_2022-01-05_37693_41.228.22.180","TUNISIANA","37693","TN","2022-01-05","41.228.22.180"
"2595_2022-01-10_28669_186.225.119.170","America-NET Ltda.","28669","BR","2022-01-10","186.225.119.170"
"2283_2022-01-09_46606_162.214.188.105","UNIFIEDLAYER-AS-1","46606","US","2022-01-09","162.214.188.105"
"2107_2022-01-08_51167_164.68.99.3","CONTABO","51167","DE","2022-01-08","164.68.99.3"
"929_2022-01-04_11260_24.222.20.254","EASTLINK-HSI","11260","CA","2022-01-04","24.222.20.254"
"1810_2022-01-07_51167_144.91.110.219","CONTABO","51167","DE","2022-01-07","144.91.110.219"
"2091_2022-01-08_137478_202.144.203.140","CYBER-AS-AP Cyber Net Cafe","137478","BD","2022-01-08","202.144.203.140"
"23_2022-01-02_12772_94.28.78.200","ENFORTA-AS Enforta Autonomous System","12772","RU","2022-01-02","94.28.78.200"
"2742_2022-01-10_51167_144.91.110.219","CONTABO","51167","DE","2022-01-10","144.91.110.219"
"971_2022-01-04_133592_103.139.242.30","SPCTRM-AS-IN Spectram Telecom Pvt Ltd","133592","IN","2022-01-04","103.139.242.30"
"562_2022-01-03_27695_186.159.12.18","EDATEL S.A. E.S.P","27695","CO","2022-01-03","186.159.12.18"
"2558_2022-01-10_64297_103.77.205.102","GLOBALMANDIRI-AS-ID PT Medialink Global Mandiri","64297","ID","2022-01-10","103.77.205.102"
"2435_2022-01-09_16276_51.68.138.110","OVH","16276","PL","2022-01-09","51.68.138.110"
"445_2022-01-03_3737_50.29.166.232","AS-PTD","3737","US","2022-01-03","50.29.166.232"
"1567_2022-01-06_577_74.15.2.252","BACOM","577","CA","2022-01-06","74.15.2.252"
"760_2022-01-04_14061_138.197.109.175","DIGITALOCEAN-ASN","14061","US","2022-01-04","138.197.109.175"
"198_2022-01-02_14061_167.71.11.125","DIGITALOCEAN-ASN","14061","NL","2022-01-02","167.71.11.125"
"32_2022-12-22_20001_172.114.160.81","TWC-20001-PACWEST","20001","US","2022-12-22","172.114.160.81"
"2701_2022-01-10_16276_91.121.134.180","OVH","16276","FR","2022-01-10","91.121.134.180"
"207_2022-01-02_63949_172.104.227.98","""LINODE-AP Linode, LLC""","63949","DE","2022-01-02","172.104.227.98"
"1827_2022-01-07_14061_164.90.159.54","DIGITALOCEAN-ASN","14061","US","2022-01-07","164.90.159.54"
"21_2022-12-21_136883_103.109.247.10","IDNIC-UNUSA-AS-ID Universitas Nahdlatul Ulama Surabaya","136883","ID","2022-12-21","103.109.247.10"
"2820_2022-01-10_21782_67.209.195.198","PLATEAU","21782","US","2022-01-10","67.209.195.198"
"2553_2022-01-10_136969_103.73.102.174","KKNETWROK-AS-AP KK Networks (Pvt) Ltd.","136969","PK","2022-01-10","103.73.102.174"
"1290_2022-01-05_63761_103.70.29.126","MAXDATA-VN Cong ty TNHH Dich vu truc tuyen Maxdata","63761","VN","2022-01-05","103.70.29.126"
"35_2022-12-25_9318_218.38.121.17","SKB-AS SK Broadband Co Ltd","9318","KR","2022-12-25","218.38.121.17"
"2494_2022-01-09_207992_194.9.172.107","FEELB","207992","FR","2022-01-09","194.9.172.107"
"1594_2022-01-06_16276_51.38.71.0","OVH","16276","GB","2022-01-06","51.38.71.0"
"2361_2022-01-09_11426_71.74.12.34","TWC-11426-CAROLINAS","11426","US","2022-01-09","71.74.12.34"
"2332_2022-01-09_42469_194.1.193.11","ASKAD","42469","UA","2022-01-09","194.1.193.11"
"878_2022-01-04_41843_188.234.115.35","ERTH-OMSK-AS","41843","RU","2022-01-04","188.234.115.35"
"2308_2022-01-09_45298_103.253.107.156","""INTERLINK-TECH-AS-ID INTERLINK TECHNOLOGY, PT""","45298","ID","2022-01-09","103.253.107.156"
"704_2022-01-04_16276_54.37.106.167","OVH","16276","FR","2022-01-04","54.37.106.167"
